@timestamp,agent.type,destination.bytes,destination.ip,destination.port,event.type,host.ip,host.os.version,network.packets,network.transport,network.type,source.ip,source.port
"Oct 23, 2022 @ 22:51:20.002",packetbeat,257.3KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,198",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:51:20.002",packetbeat,251.4KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,139",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:51:10.801",packetbeat,444.1KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,086",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:51:10.003",packetbeat,470.9KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,629",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:51:10.002",packetbeat,250.9KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,135",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:51:10.000",packetbeat,256.8KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,194",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:51:00.801",packetbeat,443.6KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,082",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:51:00.003",packetbeat,470.5KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,625",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:51:00.003",packetbeat,250.5KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,131",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:51:00.001",packetbeat,256.3KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,190",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:50:50.802",packetbeat,443.1KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,078",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:50:50.002",packetbeat,470KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,621",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:50:50.002",packetbeat,250KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,127",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:50:50.000",packetbeat,255.8KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,186",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:50:40.801",packetbeat,442.6KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,074",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:50:40.005",packetbeat,469.5KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,617",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:50:40.002",packetbeat,249.5KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,123",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:50:40.001",packetbeat,255.4KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,182",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:50:30.802",packetbeat,442.2KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,070",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:50:30.005",packetbeat,469KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,613",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:50:30.002",packetbeat,249KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,119",tcp,ipv4,172.16.0.3,41484
